# A syndromic neurodevelopmental presentation as a clinical geneticist records it — IDs, as lint recommends.
HP:0001263   # Global developmental delay
HP:0001249   # Intellectual disability
HP:0001250   # Seizure
HP:0000252   # Microcephaly
HP:0001252   # Hypotonia
HP:0004322   # Short stature
HP:0000175   # Cleft palate
HP:0000589   # Coloboma
HP:0000365   # Hearing impairment
HP:0000028   # Cryptorchidism
HP:0000508   # Ptosis
HP:0000316   # Hypertelorism
HP:0001631   # Atrial septal defect
HP:0000637   # Long palpebral fissure
# two label-only lines on purpose, so `lint` shows the label-vs-ID warning:
Seizures                        # not an exact HPO label ('Seizure' is) → lint error
Developmental delay             # synonym → resolves, with a warning to store the ID
