disease,name,database,n_raw_terms,n_retained_terms,n_missing_old,n_missing_new,n_obsolete,n_out_of_domain,n_ic_changed,n_pairs,n_informative_pairs,n_root_only_pairs,n_pairs_changed,n_pairs_abs_delta_gt_0.01,n_pairs_abs_delta_gt_0.1,mean_abs_dlin,max_abs_dlin,status
OMIM:619340,Developmental and epileptic encephalopathy 96,OMIM,9,9,0,0,0,0,4,36,15,21,15,0,0,0.001177,0.001483,RANKABLE
OMIM:609153,"Pseudohyperkalemia, familial, 2, due to red cell leak",OMIM,6,6,0,0,0,0,3,15,2,13,2,0,0,0.001228,0.001229,RANKABLE
OMIM:614102,Immunoglobulin kappa light chain deficiency,OMIM,5,5,0,0,0,0,3,10,4,6,4,3,0,0.024163,0.037980,RANKABLE
OMIM:619426,White-Kernohan syndrome,OMIM,45,45,0,0,0,0,14,990,268,722,268,0,0,0.000678,0.009800,RANKABLE
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",OMIM,30,30,0,0,0,0,18,435,209,226,209,17,4,0.007587,0.203011,RANKABLE
OMIM:609621,Short QT syndrome 2,OMIM,6,6,0,0,0,0,3,15,15,0,15,0,0,0.001192,0.001481,RANKABLE
OMIM:212790,Premature centromere division,OMIM,1,1,0,0,0,0,1,0,0,0,0,0,0,,,TERM_ONLY
OMIM:612567,"Inflammatory bowel disease 25, early onset, autosomal recessive",OMIM,7,7,0,0,0,0,3,21,17,4,17,10,0,0.025775,0.065650,RANKABLE
OMIM:613679,Congenital prothrombin deficiency,OMIM,10,10,0,0,0,0,3,45,45,0,45,0,0,0.000969,0.001053,RANKABLE
OMIM:614116,"Neuropathy, hereditary sensory, type IE",OMIM,16,16,0,0,0,0,12,120,68,52,68,0,0,0.001102,0.009819,RANKABLE
OMIM:612201,"Atrial fibrillation, familial, 6",OMIM,5,5,0,0,0,0,3,10,10,0,10,0,0,0.000566,0.001837,RANKABLE
OMIM:137580,Gilles de la tourette syndrome,OMIM,8,8,0,0,0,0,5,28,28,0,28,6,0,0.003485,0.014722,RANKABLE
OMIM:619354,"Deafness, cataract, impaired intellectual development, and polyneuropathy",OMIM,14,14,0,0,0,0,4,91,20,71,20,0,0,0.000689,0.001735,RANKABLE
OMIM:117650,Cerebrocostomandibular syndrome,OMIM,47,47,0,0,0,0,22,1081,238,843,238,0,0,0.000952,0.003246,RANKABLE
OMIM:616067,"46,xy sex reversal 9",OMIM,5,5,0,0,0,0,3,10,6,4,6,0,0,0.001377,0.001439,RANKABLE
OMIM:108770,Atrial standstill 1,OMIM,7,7,0,0,0,0,0,21,21,0,21,0,0,0.000603,0.001737,RANKABLE
OMIM:112700,"Brachydactyly, type A3",OMIM,5,5,0,0,0,0,3,10,10,0,10,0,0,0.001593,0.002333,RANKABLE
OMIM:612229,"Colorectal cancer, susceptibility to, 3",OMIM,1,1,0,0,0,0,0,0,0,0,0,0,0,,,TERM_ONLY
OMIM:614880,Hypogonadotropic hypogonadism 15 with or without anosmia,OMIM,10,10,0,0,0,0,6,45,11,34,11,0,0,0.001092,0.001912,RANKABLE
OMIM:615546,Van maldergem syndrome 2,OMIM,63,63,0,0,0,0,36,1953,448,1505,448,1,0,0.001081,0.014077,RANKABLE
OMIM:116200,"Cataract 1, multiple types",OMIM,4,4,0,0,0,0,3,6,6,0,6,0,0,0.000795,0.000896,RANKABLE
OMIM:607624,"Griscelli syndrome, type 2",OMIM,12,12,0,0,0,0,8,66,16,50,16,5,0,0.008605,0.027189,RANKABLE
OMIM:621185,Houge-Janssens syndrome 4,OMIM,115,115,0,0,0,0,63,6555,1713,4842,1713,4,0,0.001338,0.026281,RANKABLE
OMIM:192100,"Uvula, bifid",OMIM,1,1,0,0,0,0,0,0,0,0,0,0,0,,,TERM_ONLY
OMIM:615220,"Osteogenesis imperfecta, type XV",OMIM,12,12,0,0,0,0,9,66,21,45,21,0,0,0.001298,0.001973,RANKABLE
OMIM:615234,"Anemia, hypochromic microcytic, with iron overload 2",OMIM,15,15,0,0,0,0,10,105,18,87,18,2,1,0.009945,0.131448,RANKABLE
OMIM:268000,Retinitis pigmentosa,OMIM,4,4,0,0,0,0,4,6,6,0,6,0,0,0.001636,0.002620,RANKABLE
OMIM:605027,"Lymphoma, non-hodgkin, familial",OMIM,1,1,0,0,0,0,1,0,0,0,0,0,0,,,TERM_ONLY
OMIM:621191,Leukodystrophy and cerebellar atrophy,OMIM,27,27,0,0,0,0,21,351,143,208,143,0,0,0.001231,0.004372,RANKABLE
OMIM:225100,Ectopia lentis,OMIM,1,1,0,0,0,0,1,0,0,0,0,0,0,,,TERM_ONLY
OMIM:204870,"Corneal dystrophy, gelatinous drop-like",OMIM,6,6,0,0,0,0,4,15,15,0,15,0,0,0.001062,0.001632,RANKABLE
OMIM:608265,"Deafness, congenital neurosensory, autosomal recessive 39",OMIM,1,1,0,0,0,0,0,0,0,0,0,0,0,,,TERM_ONLY
OMIM:618076,Neurodevelopmental disorder with spasticity and poor growth,OMIM,67,67,0,0,0,0,31,2211,443,1768,443,3,0,0.001185,0.024440,RANKABLE
OMIM:613123,Brugada syndrome 8,OMIM,3,3,0,0,0,0,2,3,3,0,3,0,0,0.001154,0.001169,RANKABLE
OMIM:256850,"Giant axonal neuropathy 1, autosomal recessive",OMIM,31,31,0,0,0,0,24,465,203,262,203,0,0,0.001151,0.004661,RANKABLE
OMIM:221400,"Deafness, nerve type, with mesenteric diverticula of small bowel andprogressive sensory neuropathy",OMIM,7,7,0,0,0,0,6,21,3,18,3,0,0,0.002665,0.003724,RANKABLE
OMIM:615552,"Episodic pain syndrome, familial, 3",OMIM,2,2,0,0,0,0,2,1,0,1,0,0,0,,,NO_INFORMATIVE_PAIRS
OMIM:191390,Inflammatory bowel disease 11,OMIM,5,5,0,0,0,0,4,10,6,4,6,1,0,0.008058,0.033432,RANKABLE
