disease,name,n_terms,ic_moved,informative_pairs,pairs_moved,mean_abs_dlin,max_abs_dlin
OMIM:608971,"Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-positive, NK cell-positive",15,8,61,61,0.0846,0.604
OMIM:116920,"Leukocyte adhesion deficiency, type I",17,10,51,51,0.0841,0.517
OMIM:601457,"Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-positive",16,7,60,60,0.0823,0.561
OMIM:612089,Hypophosphatemic rickets and hyperparathyroidism,14,5,28,28,0.0706,0.924
OMIM:618913,Fanconi renotubular syndrome 5,14,7,29,29,0.065,0.924
OMIM:614468,Familial cold autoinflammatory syndrome 3,15,7,53,53,0.0647,0.609
OMIM:620282,Immunodeficiency 109 with lymphoproliferation,15,5,70,70,0.0617,0.318
OMIM:620670,"Immunodeficiency, common variable, 15",17,9,106,106,0.0599,0.424
OMIM:619220,Immunodeficiency 78 with autoimmunity and developmental delay,16,5,58,58,0.0534,0.441
OMIM:614564,"Cutaneous telangiectasia and cancer syndrome, familial",17,11,78,78,0.0477,0.4
OMIM:614699,"Immunodeficiency, common variable, 7",14,9,54,54,0.0475,0.231
OMIM:620795,Autoinflammation with episodic fever and immune dysregulation,14,8,39,39,0.0419,0.307
OMIM:615207,Immunodeficiency 56,16,9,70,70,0.0409,0.319
OMIM:613496,"Immunodeficiency, common variable, 6",18,8,69,69,0.0399,0.34
OMIM:615558,"Hypobetalipoproteinemia, familial, 1",14,6,30,30,0.0389,0.141
OMIM:620679,"Lipodystrophy, familial partial, type 8",12,8,14,14,0.0387,0.165
OMIM:615897,Immunodeficiency 24,17,11,115,115,0.0384,0.318
OMIM:615401,Immunodeficiency 8,12,5,37,37,0.038,0.135
OMIM:607271,"Autoimmune lymphoproliferative syndrome, type IIB",18,12,107,107,0.0371,0.237
OMIM:618459,Immunodeficiency 62,13,6,68,68,0.0367,0.146
OMIM:612692,"Agammaglobulinemia 6, autosomal recessive",13,9,66,66,0.0364,0.226
OMIM:214700,"Diarrhea 1, secretory chloride, congenital",18,10,38,38,0.0359,0.52
OMIM:620211,"Hyperinsulinemic hypoglycemia, familial, 8",16,9,29,29,0.0357,0.18
OMIM:615387,"Immunodeficiency 7, TCR-alpha/beta deficient",16,10,61,61,0.0351,0.143
OMIM:616740,Immunodeficiency 46,12,8,33,33,0.0351,0.11
OMIM:617638,Immunodeficiency 11B with atopic dermatitis,13,8,59,59,0.0349,0.167
OMIM:312863,"Combined immunodeficiency, X-linked",12,10,66,66,0.0346,0.242
OMIM:619281,"Immunodeficiency 14B, autosomal recessive",16,9,90,90,0.0346,0.46
OMIM:212050,"Candidiasis, familial chronic mucocutaneous, autosomal recessive",17,11,112,112,0.0343,0.234
OMIM:618495,Immunodeficiency 63 with lymphoproliferation and autoimmunity,17,12,59,59,0.0338,0.143
OMIM:610984,Complement factor I deficiency,17,9,95,95,0.0337,0.182
OMIM:609889,"Alpha/beta T-cell lymphopenia with gamma/delta T-cell expansion, severe cytomegalovirus infection, and autoimmunity",14,7,58,58,0.0337,0.441
OMIM:301081,"Autoinflammatory disease, systemic, X-linked",15,9,76,76,0.0335,0.325
OMIM:613953,Immunodeficiency 51,18,12,153,153,0.0334,0.156
OMIM:618982,Immunodeficiency 72 with autoinflammation,12,6,45,45,0.0324,0.147
OMIM:241600,Immunodeficiency 43,16,8,49,49,0.0314,0.226
OMIM:620532,"Hyper-IgE syndrome 6, autosomal dominant, with recurrent infections",15,13,50,50,0.0313,0.083
OMIM:613312,"Hypophosphatemic rickets, autosomal recessive, 2",12,8,15,15,0.0308,0.229
OMIM:620825,Immunodeficiency 119,15,8,66,66,0.0303,0.136
OMIM:607676,Immunodeficiency 67,12,10,55,55,0.0303,0.113
OMIM:620449,Immunodeficiency 112,17,7,120,120,0.0299,0.135
OMIM:613493,"Immunodeficiency, common variable, 3",13,8,78,78,0.0293,0.105
OMIM:618108,Immunodeficiency 57,14,7,44,44,0.0289,0.133
OMIM:619774,Immunodeficiency 96,15,10,43,43,0.0289,0.115
OMIM:242700,Immune defect due to absence of thymus,15,6,61,61,0.0288,0.299
OMIM:615160,"Mitochondrial complex III deficiency, nuclear type 5",18,9,49,49,0.0288,0.18
OMIM:618107,"Osteopetrosis, autosomal dominant 3",12,9,12,12,0.0283,0.276
OMIM:610163,Immunodeficiency 25,17,10,120,120,0.0281,0.133
OMIM:618944,"Hyper-IgE recurrent infection syndrome 5, autosomal recessive",13,7,52,52,0.0281,0.115
OMIM:615513,Immunodeficiency 14,14,6,68,68,0.0277,0.105
OMIM:217090,"Plasminogen deficiency, type I",18,14,36,36,0.0276,0.34
OMIM:615607,Immunodeficiency 17,15,8,61,61,0.0275,0.063
OMIM:618969,Immunodeficiency 70,17,7,63,63,0.0265,0.109
OMIM:614878,"Autoinflammation, antibody deficiency, and immune dysregulation, plcg2-associated",14,9,31,31,0.0261,0.105
OMIM:615504,"Ciliary dyskinesia, primary, 27",12,3,42,42,0.0261,0.358
OMIM:615518,Immunodeficiency 13,14,4,64,64,0.0253,0.131
OMIM:150550,"Periodic fever, immunodeficiency, and thrombocytopenia syndrome",16,10,51,51,0.0251,0.249
OMIM:611926,"Immunodeficiency, ovarian dysgenesis, and pulmonary fibrosis",12,9,39,39,0.0251,0.115
OMIM:601495,"Agammaglobulinemia 1, autosomal recessive",16,8,82,82,0.0249,0.066
OMIM:616576,"Immunodeficiency, common variable, 12",14,7,40,40,0.0249,0.104
OMIM:618999,"Autoinflammation, immune dysregulation, and eosinophilia",14,9,35,35,0.0248,0.04
OMIM:621252,CAOP syndrome,17,10,26,26,0.0236,0.286
OMIM:615615,Immunodeficiency 18,15,9,105,105,0.0233,0.094
OMIM:618394,Immunodeficiency 60,18,12,86,86,0.0232,0.115
OMIM:619375,"Autoinflammatory syndrome, familial, with or without immunodeficiency",17,7,87,87,0.0227,0.048
OMIM:231100,"Hemochromatosis, neonatal",14,8,26,26,0.0224,0.162
OMIM:615767,"Immunodeficiency, common variable, 11",13,8,24,24,0.022,0.053
OMIM:270150,Sjogren syndrome,17,7,35,35,0.0218,0.053
OMIM:214950,"Bile acid synthesis defect, congenital, 4",16,8,39,39,0.0214,0.15
OMIM:613313,"Hemochromatosis, type 2B",14,10,16,16,0.0214,0.131
OMIM:616069,"Inflammatory skin and bowel disease, neonatal, 2",14,11,15,15,0.0213,0.141
OMIM:613808,"Ciliary dyskinesia, primary, 15",16,6,61,61,0.0207,0.358
OMIM:616744,"Autoinflammatory syndrome, familial, Behcet-like",14,9,19,19,0.0207,0.044
OMIM:604278,"Renal tubular acidosis, proximal, with ocular abnormalities and mentalretardation",16,9,28,28,0.0204,0.402
OMIM:618963,"Immunodeficiency 69, mycobacteriosis",14,9,33,33,0.0198,0.112
OMIM:617049,"Cholestasis, progressive familial intrahepatic, 5",14,9,34,34,0.0198,0.18
OMIM:604250,"Hemochromatosis, type 3",16,11,17,17,0.0197,0.131
OMIM:617827,Immunodeficiency 55,16,14,33,33,0.0191,0.104
OMIM:608203,Immunodeficiency 73A with defective neutrophil chemotaxix and leukocytosis,12,4,28,28,0.0189,0.177
OMIM:613470,"Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerasedeficiency",13,7,18,18,0.0189,0.266
OMIM:619924,"Immunodeficiency 105, severe combined",16,9,104,104,0.0185,0.115
OMIM:600649,"Carnitine palmitoyltransferase II deficiency, infantile",14,9,22,22,0.0179,0.157
OMIM:306000,"Glycogen storage disease, type IXa1",15,11,37,37,0.0169,0.168
OMIM:616037,"Ciliary dyskinesia, primary, 30",17,7,65,65,0.0168,0.358
OMIM:616278,"Bile acid synthesis defect, congenital, 5",13,9,28,28,0.0168,0.145
OMIM:613101,"Hemophagocytic lymphohistiocytosis, familial, 5",17,13,59,59,0.0167,0.056
OMIM:614470,"RAS-associated autoimmune lymphoproliferative syndrome type IV, somatic",17,13,101,101,0.0162,0.064
OMIM:614935,"Ciliary dyskinesia, primary, 19",13,2,34,34,0.0161,0.358
OMIM:619374,Immunodeficiency 81,15,5,97,97,0.0161,0.045
OMIM:609939,"Systemic lupus erythematosus, susceptibility to, 6",12,9,14,14,0.016,0.039
OMIM:619767,"Pulmonary fibrosis and/or bone marrow failure, telomere-related, 6",13,7,20,20,0.016,0.219
OMIM:615190,"Dyskeratosis congenita, autosomal recessive 5",12,10,13,13,0.0159,0.056
OMIM:606763,"Ciliary dyskinesia, primary, 2",13,7,26,26,0.0159,0.301
OMIM:612526,"Lipodystrophy, congenital generalized, type 3",16,11,27,27,0.0155,0.158
OMIM:620514,"Immune dysregulation, autoimmunity, and autoinflammation",14,6,36,36,0.0154,0.039
OMIM:619481,"Bile acid malabsorption, primary, 2",12,0,38,38,0.0154,0.136
OMIM:617872,Combined oxidative phosphorylation deficiency 34,16,10,30,30,0.0145,0.162
OMIM:613986,"Pituitary hormone deficiency, combined, 6",13,5,26,26,0.0142,0.18
OMIM:237300,"Carbamoyl phosphate synthetase I deficiency, hyperammonemia due to",17,10,52,52,0.0141,0.257
OMIM:193670,Whim syndrome,12,9,24,24,0.0141,0.056
OMIM:614172,Immunodeficiency 21,16,9,87,87,0.0139,0.038
OMIM:615505,"Ciliary dyskinesia, primary, 28",12,4,40,40,0.0139,0.358
OMIM:612840,"Leukocyte adhesion deficiency, type III",17,13,50,50,0.0136,0.108
OMIM:613095,Polycystic kidney disease 2,18,10,27,27,0.0133,0.15
OMIM:611762,Familial cold autoinflammatory syndrome 2,18,13,34,34,0.0133,0.045
