rank,disease,name,database,n_raw_terms,n_retained_terms,n_missing_old,n_missing_new,n_obsolete,n_out_of_domain,n_ic_changed,n_pairs,n_informative_pairs,n_root_only_pairs,n_pairs_changed,n_pairs_abs_delta_gt_0.01,n_pairs_abs_delta_gt_0.1,mean_abs_dlin,max_abs_dlin,status
1,OMIM:618883,"Hypoparathyroidism, familial isolated 2",OMIM,4,4,0,0,0,0,1,6,6,0,6,5,3,0.298116,0.940849,RANKABLE
2,OMIM:607821,"Deafness, autosomal recessive 37",OMIM,4,4,0,0,0,0,3,6,2,4,2,1,1,0.257073,0.513815,RANKABLE
3,OMIM:614662,Cortisone reductase deficiency 2,OMIM,7,7,0,0,0,0,3,21,4,17,4,3,3,0.243204,0.372311,RANKABLE
4,ORPHA:2239,Familial isolated hypoparathyroidism due to agenesis of parathyroid gland,ORPHA,8,8,0,0,0,0,1,28,12,16,12,7,4,0.213744,0.940849,RANKABLE
5,ORPHA:94090,Pseudohypoparathyroidism type 2,ORPHA,12,12,0,0,0,0,6,66,20,46,20,9,7,0.209001,0.940849,RANKABLE
6,OMIM:300085,"Cone-Rod dystrophy, X-linked, 2",OMIM,2,2,0,0,0,0,1,1,1,0,1,1,1,0.206708,0.206708,RANKABLE
7,OMIM:618648,"Immunodeficiency 65, susceptibility to viral infections",OMIM,5,5,0,0,0,0,3,10,6,4,6,6,2,0.174678,0.477653,RANKABLE
8,OMIM:615954,ACTH-independent macronodular adrenal hyperplasia 2,OMIM,12,12,0,0,0,0,6,66,8,58,8,4,4,0.171725,0.405486,RANKABLE
9,ORPHA:366,Glycogen storage disease due to glycogen debranching enzyme deficiency,ORPHA,7,7,0,0,0,0,5,21,1,20,1,1,1,0.168260,0.168260,RANKABLE
10,OMIM:170650,"Periodontitis, aggressive, 1",OMIM,4,4,0,0,0,0,2,6,3,3,3,2,2,0.153740,0.356863,RANKABLE
11,OMIM:617574,"Ichthyosis, congenital, autosomal recessive 13",OMIM,5,5,0,0,0,0,4,10,10,0,10,4,4,0.148783,0.405141,RANKABLE
12,OMIM:614850,"Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 6",OMIM,2,2,0,0,0,0,0,1,1,0,1,1,1,0.147291,0.147291,RANKABLE
13,OMIM:300645,"Atypical mycobacteriosis, familial, X-linked 2",OMIM,3,3,0,0,0,0,1,3,3,0,3,3,3,0.144443,0.191439,RANKABLE
14,OMIM:211000,Blue diaper syndrome,OMIM,4,4,0,0,0,0,3,6,1,5,1,1,1,0.139253,0.139253,RANKABLE
15,OMIM:258100,Oguchi disease 1,OMIM,2,2,0,0,0,0,0,1,1,0,1,1,1,0.138943,0.138943,RANKABLE
16,OMIM:613411,Oguchi disease-2,OMIM,2,2,0,0,0,0,0,1,1,0,1,1,1,0.138943,0.138943,RANKABLE
17,OMIM:115300,"Carotenemia, familial",OMIM,3,3,0,0,0,0,1,3,1,2,1,1,1,0.136429,0.136429,RANKABLE
18,ORPHA:137698,Cytomegalovirus disease in patients with impaired cell mediated immunity deemed at risk,ORPHA,14,14,0,0,0,0,8,91,23,68,23,18,10,0.136039,0.525835,RANKABLE
19,OMIM:241520,"Hypophosphatemic rickets, autosomal recessive",OMIM,6,6,0,0,0,0,5,15,7,8,7,1,1,0.133277,0.924185,RANKABLE
20,OMIM:146200,"Hypoparathyroidism, familial isolated",OMIM,11,11,0,0,0,0,5,55,14,41,14,5,3,0.128531,0.940849,RANKABLE
21,OMIM:615527,"Candidiasis, familial, 8",OMIM,6,6,0,0,0,0,5,15,11,4,11,8,4,0.125097,0.389512,RANKABLE
22,OMIM:620813,MHC class I deficiency 2,OMIM,10,10,0,0,0,0,6,45,27,18,27,21,10,0.117136,0.477653,RANKABLE
23,OMIM:616445,"Candidiasis, familial, 9",OMIM,4,4,0,0,0,0,2,6,6,0,6,6,4,0.102666,0.163471,RANKABLE
24,OMIM:614372,Mannose-Binding lectin deficiency,OMIM,6,6,0,0,0,0,3,15,10,5,10,10,6,0.102287,0.127832,RANKABLE
25,OMIM:619256,"Hypercholanemia, familial 2",OMIM,5,5,0,0,0,0,1,10,3,7,3,3,2,0.097862,0.144449,RANKABLE
26,OMIM:162700,"Neutropenia, chronic familial",OMIM,7,7,0,0,0,0,6,21,9,12,9,6,2,0.094889,0.355424,RANKABLE
27,ORPHA:786,Generalized glucocorticoid resistance syndrome,ORPHA,21,21,0,0,0,0,15,210,46,164,46,14,14,0.094808,0.413183,RANKABLE
28,OMIM:613796,"Mycobacterial and viral infections, susceptibility to, autosomal recessive",OMIM,3,3,0,0,0,0,2,3,3,0,3,3,2,0.092119,0.133811,RANKABLE
29,OMIM:613830,"Night blindness, congenital stationary, type 1D",OMIM,4,4,0,0,0,0,2,6,6,0,6,3,3,0.088795,0.179985,RANKABLE
30,OMIM:601457,"Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-positive",OMIM,15,15,0,0,0,0,7,105,50,55,50,43,11,0.088253,0.561041,RANKABLE
31,OMIM:193100,"Hypophosphatemic rickets, autosomal dominant",OMIM,11,11,0,0,0,0,6,55,16,39,16,3,3,0.086041,0.924185,RANKABLE
32,OMIM:614892,Immunodeficiency 31A,OMIM,5,5,0,0,0,0,2,10,10,0,10,10,5,0.084750,0.184749,RANKABLE
33,OMIM:608971,"Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-positive, NK cell-positive",OMIM,15,15,0,0,0,0,8,105,61,44,61,54,10,0.084561,0.603576,RANKABLE
34,OMIM:116920,"Leukocyte adhesion deficiency, type I",OMIM,17,17,0,0,0,0,10,136,51,85,51,41,8,0.084086,0.516732,RANKABLE
35,OMIM:614492,"Pseudohypoaldosteronism, type IIC",OMIM,8,8,0,0,0,0,2,28,11,17,11,2,2,0.083898,0.520126,RANKABLE
36,ORPHA:364,Glycogen storage disease due to glucose-6-phosphatase deficiency,ORPHA,11,11,0,0,0,0,9,55,5,50,5,4,2,0.079492,0.175507,RANKABLE
37,ORPHA:147,Carbamoyl-phosphate synthetase 1 deficiency,ORPHA,7,7,0,0,0,0,5,21,6,15,6,3,2,0.078796,0.256931,RANKABLE
38,OMIM:222100,"Diabetes mellitus, insulin-dependent-1",OMIM,8,8,0,0,0,0,4,28,7,21,7,1,1,0.076946,0.531202,RANKABLE
39,ORPHA:46486,Mucous membrane pemphigoid,ORPHA,7,7,0,0,0,0,6,21,6,15,6,2,1,0.076678,0.416767,RANKABLE
40,OMIM:620814,MHC class I deficiency 3,OMIM,3,3,0,0,0,0,2,3,3,0,3,3,1,0.074248,0.142614,RANKABLE
41,ORPHA:183675,Recurrent infections associated with rare immunoglobulin isotypes deficiency,ORPHA,47,47,0,0,0,0,32,1081,660,421,660,578,137,0.073004,0.523627,RANKABLE
42,OMIM:607748,"Hypercholanemia, familial",OMIM,7,7,0,0,0,0,5,21,2,19,2,1,1,0.072268,0.144449,RANKABLE
43,ORPHA:449280,Scedosporiosis,ORPHA,34,34,0,0,0,0,26,561,183,378,183,113,40,0.071580,0.599993,RANKABLE
44,ORPHA:405,Familial hypocalciuric hypercalcemia,ORPHA,19,19,0,0,0,0,9,171,44,127,44,11,7,0.071099,0.836368,RANKABLE
45,OMIM:613021,Bronchiectasis with or without elevated sweat chloride 2,OMIM,6,6,0,0,0,0,1,15,6,9,6,2,2,0.071065,0.268557,RANKABLE
46,OMIM:612089,Hypophosphatemic rickets and hyperparathyroidism,OMIM,14,14,0,0,0,0,5,91,28,63,28,5,4,0.070596,0.924185,RANKABLE
47,OMIM:261100,Megaloblastic anemia 1,OMIM,10,10,0,0,0,0,7,45,16,29,16,4,2,0.069543,0.581322,RANKABLE
48,OMIM:620674,"Neutropenia, severe congenital, 11, autosomal dominant",OMIM,23,23,0,0,0,0,11,253,123,130,123,91,20,0.067738,0.924373,RANKABLE
49,OMIM:616389,"Night blindness, congenital stationary, type 1G",OMIM,5,5,0,0,0,0,4,10,10,0,10,2,2,0.067698,0.513815,RANKABLE
50,ORPHA:379,Chronic granulomatous disease,ORPHA,22,22,0,0,0,0,18,231,95,136,95,68,15,0.066692,0.552557,RANKABLE
51,ORPHA:169160,T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta,ORPHA,23,23,0,0,0,0,15,253,184,69,184,160,24,0.065095,0.718804,RANKABLE
52,OMIM:618913,Fanconi renotubular syndrome 5,OMIM,14,14,0,0,0,0,7,91,29,62,29,5,5,0.065045,0.924185,RANKABLE
53,OMIM:614468,Familial cold autoinflammatory syndrome 3,OMIM,15,15,0,0,0,0,7,105,53,52,53,29,9,0.064708,0.608832,RANKABLE
54,OMIM:615517,"Hemochromatosis, type 5",OMIM,8,8,0,0,0,0,4,28,21,7,21,11,9,0.064291,0.153106,RANKABLE
55,ORPHA:319552,Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency,ORPHA,15,15,0,0,0,0,7,105,92,13,92,88,26,0.063637,0.191439,RANKABLE
56,OMIM:620836,Immunodeficiency 120,OMIM,21,21,0,0,0,0,11,210,86,124,86,67,17,0.062800,0.358486,RANKABLE
57,ORPHA:1501,Adrenocortical carcinoma,ORPHA,29,29,0,0,0,0,17,406,89,317,89,15,15,0.062612,0.538234,RANKABLE
58,OMIM:620282,Immunodeficiency 109 with lymphoproliferation,OMIM,15,15,0,0,0,0,5,105,70,35,70,49,14,0.061744,0.317922,RANKABLE
59,OMIM:613108,"Candidiasis, familial, 4",OMIM,2,2,0,0,0,0,1,1,1,0,1,1,0,0.061615,0.061615,RANKABLE
60,OMIM:618847,Immunodeficiency 66,OMIM,6,6,0,0,0,0,6,15,10,5,10,10,2,0.060434,0.221019,RANKABLE
61,OMIM:192950,"Vertical talus, congenital",OMIM,4,4,0,0,0,0,1,6,6,0,6,2,2,0.060300,0.174859,RANKABLE
62,OMIM:620670,"Immunodeficiency, common variable, 15",OMIM,17,17,0,0,0,0,9,136,106,30,106,95,21,0.059868,0.423907,RANKABLE
63,ORPHA:73224,Kidney tubulopathy-dilated cardiomyopathy syndrome,ORPHA,20,20,0,0,0,0,11,190,48,142,48,13,7,0.059765,0.940849,RANKABLE
64,OMIM:615561,Complement factor B deficiency,OMIM,6,6,0,0,0,0,4,15,15,0,15,15,4,0.059665,0.215585,RANKABLE
65,ORPHA:2968,Leukocyte adhesion deficiency,ORPHA,52,52,0,0,0,0,33,1326,435,891,435,333,71,0.059487,0.760268,RANKABLE
66,OMIM:618261,Lymphoproliferative syndrome 3,OMIM,10,10,0,0,0,0,5,45,30,15,30,25,5,0.059026,0.317922,RANKABLE
67,ORPHA:464370,Neonatal alloimmune neutropenia,ORPHA,10,10,0,0,0,0,7,45,16,29,16,14,3,0.058866,0.215585,RANKABLE
68,ORPHA:839,"Congenital nephrotic syndrome, Finnish type",ORPHA,5,5,0,0,0,0,4,10,4,6,4,1,1,0.058647,0.227707,RANKABLE
69,OMIM:618131,Immunodeficiency 58,OMIM,38,38,0,0,0,0,24,703,303,400,303,217,46,0.058477,0.477653,RANKABLE
70,ORPHA:1959,Evans syndrome,ORPHA,13,13,0,0,0,0,8,78,23,55,23,3,3,0.058305,0.440631,RANKABLE
71,ORPHA:2238,Familial isolated hypoparathyroidism,ORPHA,19,19,0,0,0,0,14,171,32,139,32,5,3,0.057878,0.940849,RANKABLE
72,OMIM:610489,"Pigmented nodular adrenocortical disease, primary, 1",OMIM,24,24,0,0,0,0,7,276,51,225,51,8,8,0.057380,0.405486,RANKABLE
73,ORPHA:90795,Congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency,ORPHA,32,32,0,0,0,0,14,496,124,372,124,21,21,0.056579,0.413183,RANKABLE
74,OMIM:261000,Intrinsic factor deficiency,OMIM,11,11,0,0,0,0,3,55,13,42,13,2,2,0.056011,0.581322,RANKABLE
75,ORPHA:2686,Cyclic neutropenia,ORPHA,32,32,0,0,0,0,23,496,186,310,186,149,22,0.055971,0.552557,RANKABLE
