# Severe combined immunodeficiency, AR, T-B+NK+ (OMIM:608971): its HPO-annotated phenotype profile from phenotype.hpoa — 15 phenotypic-abnormality terms (inheritance and onset terms removed)
HP:0000155   # Oral ulcer
HP:0000388   # Otitis media
HP:0000403   # Recurrent otitis media
HP:0000964   # Eczematoid dermatitis
HP:0001744   # Splenomegaly
HP:0002014   # Diarrhea
HP:0002020   # Gastroesophageal reflux
HP:0002090   # Pneumonia
HP:0002240   # Hepatomegaly
HP:0002716   # Lymphadenopathy
HP:0002728   # Recurrent mucocutaneous candidiasis
HP:0004430   # Severe combined immunodeficiency
HP:0005390   # Recurrent opportunistic infections
HP:0005403   # Decreased total T cell count
HP:0008866   # Failure to thrive secondary to recurrent infections
