rank,disease,name,n_terms,reparented,ic_moved,informative_pairs,pairs_moved,pairs_moved_gt_0.1,mean_abs_dlin,max_abs_dlin
1,ORPHA:379,Chronic granulomatous disease,22,2,18,95,95,15,0.0667,0.553
2,OMIM:147060,Hyper-IgE recurrent infection syndrome,51,4,25,399,399,36,0.0465,0.648
3,OMIM:300755,"Agammaglobulinemia, X-linked",35,3,17,330,330,25,0.0334,0.381
4,OMIM:102700,"Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency",39,6,25,325,325,9,0.0292,0.441
5,OMIM:306400,"Chronic granulomatous disease, X-linked",31,6,16,234,234,6,0.0266,0.107
6,OMIM:607594,"Immunodeficiency, common variable, 1",21,3,15,160,160,3,0.0256,0.115
7,OMIM:260920,Hyper-Igd syndrome,32,2,23,113,113,5,0.024,0.368
8,OMIM:603554,Omenn syndrome,78,6,45,1433,1433,36,0.0232,0.381
9,ORPHA:586,Cystic fibrosis,35,5,18,104,104,5,0.0229,0.301
10,OMIM:601859,Autoimmune lymphoproliferative syndrome,25,4,12,221,221,3,0.0206,0.441
11,OMIM:301000,Wiskott-Aldrich syndrome,77,3,42,1581,1581,46,0.0197,0.345
12,OMIM:208900,Ataxia-telangiectasia,47,3,35,267,267,2,0.0105,0.277
13,OMIM:249100,"Familial Mediterranean fever, AR",31,0,20,99,99,0,0.0083,0.033
14,OMIM:188400,Digeorge syndrome,75,0,43,335,335,0,0.0058,0.046
15,OMIM:312750,Rett syndrome,31,0,21,157,157,0,0.0025,0.024
16,OMIM:225750,Aicardi-Goutieres syndrome 1,47,0,31,315,315,0,0.0018,0.032
17,OMIM:163950,Noonan syndrome 1,57,0,34,206,206,0,0.0014,0.014
18,OMIM:154700,Marfan syndrome,70,1,37,563,563,0,0.0013,0.007
19,OMIM:105830,Angelman syndrome,43,0,28,273,273,0,0.0012,0.005
